epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,397.476,1.10483,2.11419,1.54454,1.36041,0,0.82785,0.76363,0.82211,0.58975,0.8374,0.76273,0.82251,0.57127,0.98984,1.70396,0.94342,1.21664,0,0.000208007,0.000208007,0.000208007
2,794.989,1.00676,1.80205,1.0571,1.28235,0,0.86046,0.78816,0.85005,0.61851,0.8625,0.78801,0.84137,0.59669,0.95322,1.69954,0.85393,1.21138,0,0.000408097,0.000408097,0.000408097
3,1198.81,0.98033,1.7541,0.97081,1.26376,0,0.84126,0.80841,0.86814,0.63707,0.84673,0.80868,0.86463,0.62225,0.94653,1.61903,0.79294,1.20465,0,0.000599936,0.000599936,0.000599936
4,1607.6,0.95562,1.69083,0.90272,1.24258,0,0.86474,0.8116,0.87793,0.65262,0.8622,0.8107,0.87207,0.64099,0.91132,1.56058,0.73646,1.16496,0,0.000587875,0.000587875,0.000587875
5,2018.18,0.91353,1.62509,0.83734,1.21931,0,0.8763,0.81424,0.88216,0.66826,0.88246,0.81137,0.87829,0.64764,0.89173,1.52767,0.70559,1.15804,0,0.0005755,0.0005755,0.0005755
6,2430.12,0.89286,1.56389,0.79644,1.20409,0,0.87339,0.84056,0.89913,0.68561,0.87878,0.83704,0.89427,0.66463,0.87187,1.50602,0.66943,1.14145,0,0.000563125,0.000563125,0.000563125
7,2839.74,0.86833,1.52809,0.75487,1.18875,0,0.87304,0.84597,0.90349,0.69363,0.88074,0.84162,0.89995,0.66886,0.85295,1.45102,0.63689,1.12487,0,0.00055075,0.00055075,0.00055075
8,3248.43,0.85315,1.49903,0.73707,1.1817,0,0.88301,0.85621,0.90943,0.70154,0.88696,0.85261,0.90279,0.67962,0.83785,1.41768,0.62061,1.11631,0,0.000538375,0.000538375,0.000538375
9,3658.64,0.82836,1.45803,0.70334,1.15973,0,0.86898,0.84979,0.90283,0.69947,0.86996,0.84543,0.89513,0.68095,0.83308,1.38098,0.62102,1.11336,0,0.000526,0.000526,0.000526
10,4063.74,0.81293,1.43353,0.68454,1.15001,0,0.88588,0.85209,0.91181,0.71299,0.90664,0.83686,0.90777,0.68888,0.81407,1.39646,0.59933,1.10052,0,0.000513625,0.000513625,0.000513625
11,4477.5,0.79788,1.41484,0.66457,1.14754,0,0.87755,0.85875,0.91116,0.71484,0.8803,0.86317,0.90801,0.69576,0.81739,1.38254,0.58293,1.09361,0,0.00050125,0.00050125,0.00050125
12,4891.77,0.79026,1.39466,0.65585,1.14186,0,0.8952,0.85558,0.91723,0.72371,0.89627,0.85333,0.90728,0.6999,0.80211,1.35662,0.5773,1.09389,0,0.000488875,0.000488875,0.000488875
13,5301.85,0.78691,1.37549,0.63935,1.13524,0,0.89746,0.85712,0.91773,0.73173,0.89844,0.85621,0.91265,0.70231,0.77338,1.34411,0.55142,1.07038,0,0.0004765,0.0004765,0.0004765
14,5713.04,0.7716,1.36123,0.62215,1.12354,0,0.89186,0.85425,0.9157,0.73017,0.89516,0.85355,0.9112,0.70625,0.77779,1.31945,0.55165,1.0717,0,0.000464125,0.000464125,0.000464125
15,6122.6,0.75585,1.33733,0.60642,1.11394,0,0.8918,0.86822,0.92414,0.74111,0.89571,0.8609,0.91877,0.71266,0.76196,1.31231,0.53774,1.0607,0,0.00045175,0.00045175,0.00045175
16,6530.01,0.75308,1.32044,0.60204,1.11152,0,0.90814,0.85939,0.92513,0.73907,0.90976,0.86081,0.91877,0.71378,0.77422,1.28698,0.54089,1.05572,0,0.000439375,0.000439375,0.000439375
17,6929.83,0.74616,1.29978,0.59401,1.10736,0,0.88324,0.88039,0.92587,0.7449,0.88316,0.87895,0.92194,0.71899,0.74994,1.28871,0.52884,1.05089,0,0.000427,0.000427,0.000427
18,7335.02,0.72613,1.2754,0.56845,1.09493,0,0.89316,0.86772,0.92838,0.7496,0.89587,0.87055,0.92557,0.72219,0.73922,1.27133,0.52318,1.04254,0,0.000414625,0.000414625,0.000414625
19,7741.29,0.7295,1.26244,0.567,1.09646,0,0.90419,0.87031,0.93004,0.7515,0.90496,0.86307,0.92204,0.72638,0.74049,1.26805,0.51582,1.04355,0,0.00040225,0.00040225,0.00040225
20,8147.79,0.71828,1.24822,0.5586,1.08902,0,0.89321,0.88133,0.93189,0.75135,0.89478,0.87922,0.92502,0.7244,0.74552,1.26679,0.51595,1.04642,0,0.000389875,0.000389875,0.000389875
21,8547.65,0.71222,1.23768,0.5425,1.08241,0,0.89151,0.88097,0.93243,0.75638,0.89353,0.87896,0.92901,0.72489,0.73265,1.2523,0.50555,1.03527,0,0.0003775,0.0003775,0.0003775
22,8952.81,0.70748,1.22064,0.54012,1.08057,0,0.89872,0.88403,0.93207,0.7571,0.89799,0.88499,0.92832,0.72987,0.72971,1.23663,0.50485,1.03445,0,0.000365125,0.000365125,0.000365125
23,9358.83,0.68497,1.19728,0.52247,1.06897,0,0.90812,0.88318,0.93162,0.76064,0.90657,0.88263,0.92845,0.7357,0.71843,1.21857,0.49105,1.02802,0,0.00035275,0.00035275,0.00035275
24,9765.06,0.68216,1.19608,0.51981,1.06458,0,0.90905,0.87546,0.93169,0.75917,0.90595,0.87573,0.92743,0.73229,0.72114,1.22173,0.50019,1.03241,0,0.000340375,0.000340375,0.000340375
25,10167.2,0.68318,1.1872,0.51275,1.06284,0,0.91875,0.86798,0.93364,0.76523,0.91882,0.86784,0.92964,0.73583,0.71328,1.22409,0.49532,1.0235,0,0.000328,0.000328,0.000328
26,10574.3,0.67648,1.17201,0.51021,1.06167,0,0.91221,0.87371,0.93414,0.76703,0.91452,0.87528,0.93146,0.74102,0.71422,1.22335,0.48603,1.02654,0,0.000315625,0.000315625,0.000315625
27,10980.3,0.67005,1.16616,0.49731,1.05521,0,0.92102,0.87887,0.93858,0.77159,0.92093,0.87835,0.93334,0.74219,0.70686,1.21276,0.47519,1.01219,0,0.00030325,0.00030325,0.00030325
28,11384.8,0.66453,1.16099,0.49784,1.04965,0,0.90915,0.88956,0.93879,0.77059,0.90956,0.88961,0.93427,0.7413,0.70143,1.20638,0.47417,1.01717,0,0.000290875,0.000290875,0.000290875
29,11782.5,0.66099,1.14307,0.48551,1.04682,0,0.90488,0.89424,0.93758,0.76825,0.90257,0.89217,0.93256,0.73929,0.70161,1.20462,0.46762,1.01636,0,0.0002785,0.0002785,0.0002785
30,12179.2,0.64736,1.12622,0.47626,1.04392,0,0.918,0.87895,0.93661,0.77208,0.91882,0.88089,0.93366,0.74279,0.70064,1.20483,0.46828,1.00995,0,0.000266125,0.000266125,0.000266125
31,12585.9,0.64963,1.13532,0.4744,1.03995,0,0.91792,0.88612,0.93916,0.77851,0.9193,0.88793,0.93748,0.74765,0.6863,1.19007,0.45946,1.0089,0,0.00025375,0.00025375,0.00025375
32,12989.9,0.64332,1.11531,0.47152,1.03975,0,0.91685,0.88519,0.94218,0.78173,0.9182,0.88652,0.93906,0.75123,0.68325,1.17388,0.45569,1.00499,0,0.000241375,0.000241375,0.000241375
33,13397.1,0.63403,1.1025,0.45746,1.03229,0,0.91452,0.88768,0.94315,0.78191,0.91651,0.88826,0.93837,0.75283,0.68567,1.18753,0.45567,1.00757,0,0.000229,0.000229,0.000229
34,13800.6,0.63586,1.08889,0.45473,1.0313,0,0.921,0.88874,0.94213,0.78158,0.92279,0.88699,0.93911,0.75446,0.68281,1.17379,0.44586,1.00583,0,0.000216625,0.000216625,0.000216625
35,14204.9,0.62225,1.07475,0.44479,1.02802,0,0.91339,0.89569,0.94397,0.78773,0.91319,0.89301,0.94,0.75618,0.6698,1.16619,0.44603,1.00112,0,0.00020425,0.00020425,0.00020425
36,14610.4,0.62464,1.0839,0.45162,1.02876,0,0.90722,0.8948,0.94085,0.78517,0.9072,0.89775,0.93849,0.75354,0.67459,1.16417,0.44928,1.00322,0,0.000191875,0.000191875,0.000191875
